,Company  (Maker-if known),ReviewDate,CocoaPercent,Location,Rating,Bean_Type,BroadOrigin,Cluster,ClusterColor
324,Cacaoyere (Ecuatoriana),2008,91.0,Ecuador,1.5,Forastero (Arriba),Ecuador,2,dark purple
325,Callebaut,2008,60.0,Belgium,2.75,Trinitario,Grenada,1,purple
326,Callebaut,2007,70.0,Belgium,1.0,Unknown,Ecuador,1,purple
327,C-Amaro,2014,75.0,Italy,2.5,Unknown,Cuba,1,purple
328,C-Amaro,2014,72.0,Italy,3.0,Unknown,Dominican Republic,1,purple
329,C-Amaro,2014,70.0,Italy,3.5,Blend,Unknown,0,pink
330,C-Amaro,2013,100.0,Italy,3.5,Unknown,Ecuador,2,dark purple
331,C-Amaro,2012,80.0,Italy,3.0,Unknown,Venezuela,2,dark purple
332,C-Amaro,2011,78.0,Italy,2.25,Forastero,Sao Tome,1,purple
333,C-Amaro,2011,70.0,Italy,2.5,Trinitario,Trinidad,1,purple
334,Cao,2016,75.0,U.S.A.,2.5,Criollo,Venezuela,1,purple
335,Cao,2016,73.0,U.S.A.,2.75,Unknown,Tanzania,1,purple
336,Cao,2016,70.0,U.S.A.,3.0,Criollo,Venezuela,1,purple
337,Cao,2016,75.0,U.S.A.,3.0,Unknown,Bolivia,1,purple
338,Cao,2016,70.0,U.S.A.,3.25,Trinitario,Brazil,0,pink
339,Caoni (Tulicorp),2008,77.0,Ecuador,2.0,Forastero (Arriba),Ecuador,1,purple
340,Caoni (Tulicorp),2008,77.0,Ecuador,2.5,Forastero (Arriba),Ecuador,1,purple
341,Caoni (Tulicorp),2008,77.0,Ecuador,2.75,Forastero (Arriba),Ecuador,1,purple
342,Caoni (Tulicorp),2008,55.0,Ecuador,3.0,Forastero (Arriba),Ecuador,1,purple
343,Caoni (Tulicorp),2008,55.0,Ecuador,3.25,Forastero (Arriba),Ecuador,0,pink
344,Caoni (Tulicorp),2008,55.0,Ecuador,3.5,Forastero (Arriba),Ecuador,0,pink
345,Captain Pembleton,2014,70.0,New Zealand,3.5,Trinitario,Papua New Guinea,0,pink
346,Captain Pembleton,2014,70.0,New Zealand,3.75,Unknown,Papua New Guinea,0,pink
347,Caribeans,2015,72.0,Costa Rica,3.5,Unknown,Guatemala,0,pink
348,Caribeans,2015,72.0,Costa Rica,3.25,Unknown,Costa Rica,0,pink
349,Caribeans,2015,72.0,Costa Rica,3.5,Unknown,Costa Rica,0,pink
350,Caribeans,2012,72.0,Costa Rica,3.0,Forastero,Costa Rica,1,purple
351,Caribeans,2012,80.0,Costa Rica,2.75,Forastero,Costa Rica,2,dark purple
352,Carlotta Chocolat,2016,65.0,Colombia,3.0,Trinitario,Colombia,1,purple
353,Carlotta Chocolat,2016,65.0,Colombia,3.25,Trinitario,Colombia,0,pink
354,Carlotta Chocolat,2016,65.0,Colombia,3.25,Trinitario,Colombia,0,pink
355,Carlotta Chocolat,2016,65.0,Colombia,3.5,Trinitario,Colombia,0,pink
356,Carlotta Chocolat,2016,65.0,Colombia,3.5,CCN51,Colombia,0,pink
357,Castronovo,2016,72.0,U.S.A.,4.0,Trinitario,Belize,0,pink
358,Castronovo,2015,72.0,U.S.A.,3.5,Trinitario,Honduras,0,pink
359,Castronovo,2015,70.0,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic,0,pink
360,Castronovo,2015,72.0,U.S.A.,3.5,Unknown,Venezuela,0,pink
361,Castronovo,2014,72.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia,0,pink
362,Castronovo,2014,76.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia,0,pink
363,Castronovo,2014,70.0,U.S.A.,2.75,Trinitario,Dominican Republic,1,purple
364,Castronovo,2013,70.0,U.S.A.,3.0,Trinitario,Bolivia,1,purple
365,Castronovo,2013,73.0,U.S.A.,3.5,Trinitario,Dominican Republic,0,pink
366,Castronovo,2013,70.0,U.S.A.,2.5,Criollo,Peru,1,purple
367,Castronovo,2013,70.0,U.S.A.,3.25,Unknown,Venezuela,0,pink
368,Castronovo,2013,72.0,U.S.A.,3.25,Trinitario,Nicaragua,0,pink
369,Castronovo,2013,70.0,U.S.A.,2.75,Criollo,Peru,1,purple
370,Castronovo,2013,72.0,U.S.A.,3.0,Unknown,Venezuela,1,purple
371,Cello,2014,70.0,U.S.A.,2.5,Unknown,Ecuador,1,purple
372,Cello,2014,70.0,U.S.A.,2.75,Unknown,Peru,1,purple
373,Cello,2014,70.0,U.S.A.,2.75,Unknown,Venezuela,1,purple
374,Cello,2014,70.0,U.S.A.,3.0,Unknown,Bolivia,1,purple
375,Cemoi,2009,72.0,France,2.75,Unknown,Ecuador,1,purple
376,Chaleur B,2014,70.0,Canada,2.75,Forastero,Uganda,1,purple
377,Charm School,2016,70.0,U.S.A.,3.25,Unknown,Belize,0,pink
378,Chchukululu (Tulicorp),2010,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,1,purple
379,Chchukululu (Tulicorp),2008,75.0,Ecuador,3.0,Forastero (Arriba),Ecuador,1,purple
380,Chequessett,2014,70.0,U.S.A.,3.5,Unknown,Costa Rica,0,pink
381,Chloe Chocolat,2011,70.0,France,3.5,Unknown,Unknown,0,pink
382,Chocablog,2015,70.0,U.K.,3.25,Unknown,Ecuador,0,pink
383,Choco Del Sol,2014,75.0,Germany,3.0,Trinitario,Belize,1,purple
384,Choco Del Sol,2014,82.0,Germany,3.25,Trinitario,Belize,2,dark purple
385,Choco Dong,2015,70.0,South Korea,2.75,Trinitario,Vietnam,1,purple
386,Choco Dong,2015,70.0,South Korea,3.5,Trinitario,Malaysia,0,pink
387,Chocolarder,2015,65.0,U.K.,2.5,Criollo,Peru,1,purple
388,Chocolarder,2015,65.0,U.K.,2.75,Criollo,Peru,1,purple
389,Chocolarder,2015,80.0,U.K.,2.5,Unknown,Dominican Republic,2,dark purple
390,Chocola'te,2011,70.0,U.S.A.,3.75,Trinitario,Madagascar,0,pink
391,Chocola'te,2011,68.0,U.S.A.,3.75,Unknown,Venezuela,0,pink
392,Chocolate Alchemist-Philly,2016,90.0,U.S.A.,2.5,Unknown,Peru,2,dark purple
393,Chocolate Alchemist-Philly,2016,80.0,U.S.A.,2.5,Unknown,Unknown,2,dark purple
394,Chocolate Con Amor,2016,70.0,U.S.A.,2.5,Unknown,Bolivia,1,purple
395,Chocolate Con Amor,2016,70.0,U.S.A.,2.75,Unknown,Uganda,1,purple
396,Chocolate Con Amor,2016,60.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
397,Chocolate Con Amor,2016,75.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
398,Chocolate Con Amor,2016,80.0,U.S.A.,3.0,Criollo (Ocumare),Venezuela,2,dark purple
399,Chocolate Con Amor,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
400,Chocolate Con Amor,2016,80.0,U.S.A.,2.75,Unknown,Nicaragua,2,dark purple
401,Chocolate Conspiracy,2014,74.0,U.S.A.,2.75,Unknown,Peru,1,purple
402,Chocolate Makers,2015,75.0,Amsterdam,3.25,Trinitario,Dominican Republic,0,pink
403,Chocolate Makers,2015,68.0,Amsterdam,3.5,Forastero,Congo,0,pink
404,Chocolate Makers,2015,80.0,Amsterdam,3.75,Criollo,Peru,0,pink
405,"Chocolate Tree, The",2015,69.0,Scotland,3.75,Forastero (Nacional),Peru,0,pink
406,"Chocolate Tree, The",2015,80.0,Scotland,3.75,Trinitario,Venezuela,0,pink
407,"Chocolate Tree, The",2013,70.0,Scotland,3.75,Forastero (Nacional),Peru,0,pink
408,"Chocolate Tree, The",2012,82.0,Scotland,2.5,Forastero (Arriba),Ecuador,2,dark purple
409,"Chocolate Tree, The",2012,68.0,Scotland,2.75,Criollo,Peru,1,purple
410,"Chocolate Tree, The",2012,72.0,Scotland,3.25,Criollo,Madagascar,0,pink
411,Chocolats Privilege,2014,70.0,Canada,2.5,Criollo,Mexico,1,purple
412,ChocoReko,2015,77.0,Japan,3.0,Criollo,Venezuela,1,purple
413,Chocosol,2011,65.0,Canada,3.25,Unknown,Mexico,0,pink
414,Chocovic,2010,71.0,Spain,3.25,Criollo,Mexico,0,pink
415,Chocovic,2010,71.0,Spain,3.5,Trinitario,Madagascar,0,pink
416,Chocovic,2009,60.0,Spain,3.25,Unknown,Unknown,0,pink
417,Chocovic,2009,75.0,Spain,3.25,Unknown,Unknown,0,pink
418,Chocovic,2008,71.0,Spain,3.5,Criollo,Venezuela,0,pink
419,Chocovic,2007,71.0,Spain,2.5,Forastero (Arriba),Ecuador,1,purple
420,Chocovic,2007,71.0,Spain,2.5,Trinitario,Grenada,1,purple
421,Chocovic,2007,70.0,Spain,3.0,Blend,Unknown,1,purple
422,Chocovivo,2015,65.0,U.S.A.,2.5,Trinitario,Mexico,1,purple
423,Chocovivo,2015,75.0,U.S.A.,2.5,Trinitario,Mexico,1,purple
424,Choklat,2009,80.0,Canada,2.5,Criollo,Venezuela,2,dark purple
425,Choklat,2009,70.0,Canada,2.75,Criollo,Mexico,1,purple
426,Choklat,2009,70.0,Canada,3.0,Unknown,Brazil,1,purple
427,Choklat,2009,80.0,Canada,3.0,Unknown,Brazil,2,dark purple
428,Choklat,2009,70.0,Canada,3.0,Criollo,Venezuela,1,purple
429,Chokolat Elot (Girard),2013,42.0,Martinique,2.75,Unknown,Martinique,1,purple
430,Choocsol,2016,75.0,Canada,3.25,Unknown,Mexico,0,pink
431,Christopher Morel (Felchlin),2011,68.0,Canada,3.75,Forastero (Nacional),Peru,0,pink
432,Chuao Chocolatier,2009,61.0,U.S.A.,3.0,Criollo,Venezuela,1,purple
433,Chuao Chocolatier (Pralus),2010,77.0,U.S.A.,2.75,Trinitario,Venezuela,1,purple
434,Claudio Corallo,2010,73.5,Sao Tome,3.75,Forastero,Sao Tome & Principe,0,pink
435,Claudio Corallo,2008,80.0,Sao Tome,3.0,Forastero,Sao Tome & Principe,2,dark purple
436,Claudio Corallo,2008,75.0,Sao Tome,4.0,Forastero,Sao Tome & Principe,0,pink
437,Claudio Corallo,2008,100.0,Sao Tome,1.0,Forastero,Sao Tome & Principe,2,dark purple
438,Cloudforest,2015,73.0,U.S.A.,3.5,Unknown,Ecuador,0,pink
439,Coleman & Davis,2015,75.0,U.S.A.,3.0,Trinitario,Madagascar,1,purple
440,Compania de Chocolate (Salgado),2010,70.0,Argentina,3.25,Unknown,Venezuela,0,pink
441,Compania de Chocolate (Salgado),2008,80.0,Argentina,2.75,Trinitario,Venezuela,2,dark purple
442,Compania de Chocolate (Salgado),2008,72.0,Argentina,3.25,Unknown,Bolivia,0,pink
443,Compania de Chocolate (Salgado),2008,70.0,Argentina,3.75,Criollo,Venezuela,0,pink
444,Compania de Chocolate (Salgado),2008,88.0,Argentina,2.75,Forastero (Nacional),Ecuador,2,dark purple
445,Condor,2015,76.0,U.S.A.,3.5,Unknown,Ecuador,0,pink
446,Confluence,2016,78.0,U.S.A.,2.75,Trinitario,Vietnam,2,dark purple
447,Coppeneur,2013,65.0,Germany,3.25,Forastero (Nacional),Ecuador,0,pink
448,Coppeneur,2012,85.0,Germany,3.5,Forastero,Ghana,2,dark purple
449,Coppeneur,2012,100.0,Germany,1.5,Unknown,Ecuador,2,dark purple
450,Coppeneur,2012,72.0,Germany,3.75,Forastero,Sao Tome & Principe,0,pink
451,Coppeneur,2012,70.0,Germany,3.5,Trinitario,Madagascar,0,pink
452,Coppeneur,2010,72.0,Germany,3.25,Trinitario,Grenada,0,pink
453,Coppeneur,2010,70.0,Germany,3.0,Trinitario,Venezuela,1,purple
454,Coppeneur,2010,72.0,Germany,2.5,Nacional,Ecuador,1,purple
455,Coppeneur,2010,72.0,Germany,3.0,Trinitario,Trinidad,1,purple
456,Coppeneur,2010,72.0,Germany,3.25,Trinitario,Jamaica,0,pink
457,Coppeneur,2010,72.0,Germany,3.25,Criollo (Ocumare 61),Venezuela,0,pink
458,Coppeneur,2009,72.0,Germany,3.0,Criollo,Peru,1,purple
459,Coppeneur,2009,62.0,Germany,3.25,Criollo,Peru,0,pink
460,Coppeneur,2009,70.0,Germany,3.5,"Criollo, Trinitario",Venezuela,0,pink
461,Coppeneur,2009,70.0,Germany,3.75,"Criollo, Trinitario",Venezuela,0,pink
462,Coppeneur,2008,72.0,Germany,3.0,Criollo,Mexico,1,purple
463,Coppeneur,2008,72.0,Germany,3.0,Criollo (Porcelana),Venezuela,1,purple
464,Coppeneur,2007,72.0,Germany,3.0,Trinitario,Madagascar,1,purple
465,Cote d' Or (Kraft),2006,70.0,Belgium,1.0,Unknown,Unknown,1,purple
466,Cravve,2014,70.0,Australia,2.5,Forastero,Papua New Guinea,1,purple
467,Cravve,2014,83.0,Australia,2.75,Trinitario,Vanuatu,2,dark purple
468,Cravve,2012,75.0,Australia,3.25,Forastero,Tanzania,0,pink
469,Cravve,2012,65.0,Australia,3.25,Trinitario,Brazil,0,pink
470,Cravve,2012,67.0,Australia,3.25,Trinitario,Fiji,0,pink
471,Cravve,2012,64.0,Australia,3.25,Trinitario,Vanuatu,0,pink
472,Cravve,2012,75.0,Australia,3.5,Forastero,Papua New Guinea,0,pink
473,Creo,2016,85.0,U.S.A.,3.25,Forastero (Nacional),Ecuador,2,dark purple
474,Creo,2016,73.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,0,pink
475,Daintree,2015,70.0,Australia,2.75,Unknown,Australia,1,purple
476,Daintree,2011,70.0,Australia,3.25,Unknown,Australia,0,pink
477,Dalloway,2017,72.0,U.S.A.,2.75,Unknown,Dominican Republic,1,purple
478,Damson,2015,70.0,U.K.,3.0,Trinitario,Trinidad,1,purple
479,Damson,2015,70.0,U.K.,3.5,Unknown,Ecuador,0,pink
480,Damson,2015,70.0,U.K.,2.25,Unknown,Grenada,1,purple
481,Damson,2015,70.0,U.K.,2.75,Unknown,Nicaragua,1,purple
482,Dandelion,2016,70.0,U.S.A.,3.75,Unknown,Unknown,0,pink
483,Dandelion,2015,70.0,U.S.A.,3.0,Trinitario,Belize,1,purple
484,Dandelion,2014,70.0,U.S.A.,3.5,Trinitario,Belize,0,pink
485,Dandelion,2014,70.0,U.S.A.,3.5,Unknown,Ecuador,0,pink
486,Dandelion,2014,70.0,U.S.A.,2.75,Unknown,Liberia,1,purple
487,Dandelion,2014,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
488,Dandelion,2013,70.0,U.S.A.,2.75,Unknown,Venezuela,1,purple
489,Dandelion,2013,70.0,U.S.A.,3.25,Unknown,Venezuela,0,pink
490,Dandelion,2013,70.0,U.S.A.,3.5,Unknown,Venezuela,0,pink
491,Dandelion,2013,70.0,U.S.A.,3.5,Unknown,Papua New Guinea,0,pink
492,Dandelion,2012,70.0,U.S.A.,3.0,Unknown,Costa Rica,1,purple
493,Dandelion,2012,70.0,U.S.A.,3.25,Unknown,Colombia,0,pink
494,Dandelion,2012,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
495,Dandelion,2011,70.0,U.S.A.,3.25,Unknown,Dominican Republic,0,pink
496,Dandelion,2011,70.0,U.S.A.,3.25,Trinitario,Madagascar,0,pink
497,Dandelion,2011,70.0,U.S.A.,3.25,Unknown,Tanzania,0,pink
498,Danta,2014,82.0,Guatemala,3.25,Unknown,Guatemala,2,dark purple
499,Danta,2012,75.0,Guatemala,3.0,Trinitario,Venezuela,1,purple
500,Danta,2012,70.0,Guatemala,3.75,Unknown,Guatemala,0,pink
501,Danta,2012,70.0,Guatemala,3.75,Trinitario,Madagascar,0,pink
502,Danta,2012,70.0,Guatemala,4.0,Criollo,Guatemala,0,pink
503,Danta,2012,70.0,Guatemala,3.25,Unknown,Guatemala,0,pink
504,Danta,2011,60.0,Guatemala,3.5,Unknown,Guatemala,0,pink
505,Danta,2009,75.0,Guatemala,3.0,Criollo,Guatemala,1,purple
506,Danta,2009,60.0,Guatemala,3.25,Criollo,Guatemala,0,pink
507,DAR,2016,72.0,U.S.A.,2.75,Unknown,Venezuela,1,purple
508,DAR,2016,72.0,U.S.A.,3.0,Trinitario,Vietnam,1,purple
509,DAR,2016,70.0,U.S.A.,3.25,Unknown,"Ecuador, Costa Rica",0,pink
510,Dark Forest,2016,75.0,U.S.A.,3.25,Unknown,Bolivia,0,pink
511,Dark Forest,2015,70.0,U.S.A.,3.0,Trinitario,Madagascar,1,purple
512,Dark Forest,2015,70.0,U.S.A.,3.25,Unknown,Venezuela,0,pink
513,Dark Forest,2015,70.0,U.S.A.,3.0,Unknown,Tanzania,1,purple
514,Dark Forest,2015,70.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
515,Davis,2013,70.0,U.S.A.,2.5,Forastero,Ghana,1,purple
516,Davis,2013,70.0,U.S.A.,2.75,Unknown,Dominican Republic,1,purple
517,Davis,2013,70.0,U.S.A.,2.75,Unknown,Venezuela,1,purple
518,Davis,2012,58.0,U.S.A.,3.25,Forastero,West Africa,0,pink
519,De Mendes,2015,72.0,Brazil,3.5,Unknown,Brazil,0,pink
520,De Mendes,2015,65.0,Brazil,3.5,Unknown,Brazil,0,pink
521,De Villiers,2016,70.0,South Africa,2.5,Forastero,Uganda,1,purple
522,De Villiers,2016,70.0,South Africa,3.0,Unknown,Madagascar,1,purple
523,Dean and Deluca (Belcolade),2007,66.0,U.S.A.,2.5,Trinitario,Madagascar,1,purple
524,Dean and Deluca (Belcolade),2007,64.0,U.S.A.,3.0,Unknown,Costa Rica,1,purple
525,Dean and Deluca (Belcolade),2007,71.0,U.S.A.,3.0,Unknown,Ecuador,1,purple
526,Dean and Deluca (Belcolade),2007,60.0,U.S.A.,3.0,Forastero,Ghana,1,purple
527,Dean and Deluca (Belcolade),2007,64.0,U.S.A.,3.0,Unknown,Papua New Guinea,1,purple
528,Dean and Deluca (Belcolade),2007,64.0,U.S.A.,3.0,Unknown,Peru,1,purple
529,Debauve & Gallais (Michel Cluizel),2009,64.0,France,3.0,Unknown,Papua New Guinea,1,purple
530,Debauve & Gallais (Michel Cluizel),2008,66.0,France,3.75,Unknown,Venezuela,0,pink
531,Desbarres,2016,72.0,Canada,2.5,Unknown,Tanzania,1,purple
532,DeVries,2008,80.0,U.S.A.,2.75,Unknown,Bolivia,2,dark purple
533,DeVries,2007,77.0,U.S.A.,3.5,Trinitario,Costa Rica,0,pink
534,DeVries,2007,77.0,U.S.A.,3.5,Unknown,Dominican Republic,0,pink
535,Dick Taylor,2017,70.0,U.S.A.,3.75,Unknown,Guatemala,0,pink
536,Dick Taylor,2016,78.0,U.S.A.,3.5,Trinitario,Vietnam,0,pink
537,Dick Taylor,2015,70.0,U.S.A.,3.75,Unknown,Bolivia,0,pink
538,Dick Taylor,2014,74.0,U.S.A.,3.5,Unknown,Dominican Republic,0,pink
539,Dick Taylor,2013,70.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
540,Dick Taylor,2013,76.0,U.S.A.,3.5,Unknown,Ecuador,0,pink
541,Dick Taylor,2012,75.0,U.S.A.,2.75,Unknown,Bolivia,1,purple
542,Dick Taylor,2012,72.0,U.S.A.,2.75,Trinitario,Belize,1,purple
543,Dick Taylor,2011,80.0,U.S.A.,2.75,Trinitario,Madagascar,2,dark purple
544,Dick Taylor,2011,72.0,U.S.A.,3.0,Trinitario,Madagascar,1,purple
545,Dick Taylor,2011,75.0,U.S.A.,2.75,Criollo,Venezuela,1,purple
546,Dick Taylor,2011,74.0,U.S.A.,3.0,Unknown,Dominican Republic,1,purple
547,Dick Taylor,2011,70.0,U.S.A.,3.25,Unknown,Ecuador,0,pink
548,Doble & Bignall,2015,85.0,U.K.,3.0,Unknown,Venezuela,2,dark purple
549,Doble & Bignall,2014,72.0,U.K.,3.25,Unknown,Panama,0,pink
550,Doble & Bignall,2014,72.0,U.K.,3.25,Trinitario,Venezuela,0,pink
551,Doble & Bignall,2014,72.0,U.K.,3.5,"Criollo, Trinitario",Nicaragua,0,pink
552,Dole (Guittard),2009,70.0,U.S.A.,3.75,Unknown,Hawaii,0,pink
553,Dolfin (Belcolade),2008,88.0,Belgium,3.0,Forastero,West Africa,2,dark purple
554,Dolfin (Belcolade),2006,70.0,Belgium,1.5,Unknown,Unknown,1,purple
555,Domori,2015,70.0,Italy,3.75,Unknown,Ecuador,0,pink
556,Domori,2015,70.0,Italy,3.75,Criollo (Ocumare 77),Venezuela,0,pink
557,Domori,2013,100.0,Italy,3.0,Criollo,Venezuela,2,dark purple
558,Domori,2012,70.0,Italy,3.5,Unknown,Tanzania,0,pink
559,Domori,2012,70.0,Italy,3.75,Criollo,Venezuela,0,pink
560,Domori,2011,70.0,Italy,3.5,Criollo,Venezuela,0,pink
561,Domori,2010,70.0,Italy,3.0,Trinitario,Venezuela,1,purple
562,Domori,2008,70.0,Italy,3.0,Trinitario,Venezuela,1,purple
563,Domori,2008,70.0,Italy,3.0,Unknown,Colombia,1,purple
564,Domori,2008,78.0,Italy,3.5,Blend,Unknown,0,pink
565,Domori,2008,70.0,Italy,3.75,Blend,Unknown,0,pink
566,Domori,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,0,pink
567,Domori,2007,75.0,Italy,3.25,Criollo (Ocumare 61),Venezuela,0,pink
568,Domori,2007,60.0,Italy,3.25,Trinitario,Venezuela,0,pink
569,Domori,2007,70.0,Italy,3.5,Trinitario,Madagascar,0,pink
570,Domori,2007,70.0,Italy,3.5,Criollo,Madagascar,0,pink
571,Domori,2007,70.0,Italy,3.75,Criollo,Indonesia,0,pink
572,Domori,2007,70.0,Italy,4.0,Forastero (Arriba),Ecuador,0,pink
573,Domori,2007,70.0,Italy,4.0,Criollo (Ocumare 67),Venezuela,0,pink
574,Domori,2006,70.0,Italy,3.0,Trinitario,Venezuela,1,purple
575,Domori,2006,70.0,Italy,3.25,Trinitario,Peru,0,pink
576,Domori,2006,70.0,Italy,3.5,Trinitario,Venezuela,0,pink
577,Dormouse,2016,75.0,U.K.,2.75,Trinitario,Grenada,1,purple
578,Dormouse,2015,70.0,U.K.,2.5,Trinitario,Venezuela,1,purple
579,Dormouse,2015,80.0,U.K.,2.75,"Criollo, Trinitario",Colombia,2,dark purple
580,Dormouse,2015,77.0,U.K.,2.75,"Criollo, Trinitario",Madagascar,1,purple
581,Duffy's,2015,70.0,U.K.,4.0,Criollo,Guatemala,0,pink
582,Duffy's,2014,70.0,U.K.,3.5,Criollo,Nicaragua,0,pink
583,Duffy's,2014,76.0,U.K.,3.75,Criollo,Nicaragua,0,pink
584,Duffy's,2012,72.0,U.K.,3.75,Unknown,Venezuela,0,pink
585,Duffy's,2011,72.0,U.K.,3.75,Criollo,Honduras,0,pink
586,Duffy's,2011,65.0,U.K.,3.5,Unknown,Dominican Republic,0,pink
587,Duffy's,2011,72.0,U.K.,3.0,Unknown,Panama,1,purple
588,Duffy's,2011,71.0,U.K.,3.25,Criollo,Nicaragua,0,pink
589,Duffy's,2011,71.0,U.K.,3.5,Unknown,Venezuela,0,pink
590,Duffy's,2010,70.0,U.K.,3.5,Unknown,Panama,0,pink
591,Duffy's,2010,72.0,U.K.,3.75,Unknown,Ecuador,0,pink
592,Duffy's,2010,70.0,U.K.,2.5,Unknown,Ecuador,1,purple
593,Duffy's,2010,70.0,U.K.,3.75,Unknown,Peru,0,pink
594,Dulcinea,2015,70.0,U.S.A.,3.25,Unknown,Dominican Republic,0,pink
595,Durand,2012,82.0,France,2.75,Trinitario,Madagascar,2,dark purple
596,Durci,2015,70.0,U.S.A.,3.5,Forastero (Nacional),Peru,0,pink
597,Durci,2015,70.0,U.S.A.,3.5,Trinitario,Venezuela,0,pink
598,Durci,2015,70.0,U.S.A.,3.25,Unknown,Domincan Republic,0,pink
599,Durci,2015,70.0,U.S.A.,3.25,Trinitario,Venezuela,0,pink
600,Durci,2015,70.0,U.S.A.,4.0,Unknown,Ecuador,0,pink
601,East Van Roasters,2014,70.0,Canada,3.25,Unknown,Peru,0,pink
602,East Van Roasters,2014,70.0,Canada,3.5,Trinitario,Madagascar,0,pink
603,East Van Roasters,2014,70.0,Canada,3.75,Unknown,Dominican Republic,0,pink
604,Eau de Rose,2016,70.0,Canada,3.25,Unknown,Colombia,0,pink
605,Eau de Rose,2016,70.0,Canada,3.25,Unknown,Colombia,0,pink
606,Eclat (Felchlin),2012,72.0,U.S.A.,2.75,Forastero (Nacional),Peru,1,purple
607,Edelmond,2016,68.0,Germany,3.0,Criollo,Venezuela,1,purple
608,El Ceibo,2011,75.0,Bolivia,3.75,Unknown,Bolivia,0,pink
609,El Ceibo,2008,71.0,Bolivia,2.75,Unknown,Bolivia,1,purple
610,El Rey,2015,70.0,Venezuela,3.75,Unknown,Venezuela,0,pink
611,El Rey,2009,60.5,Venezuela,2.75,Trinitario,Venezuela,1,purple
612,El Rey,2009,70.0,Venezuela,3.0,Trinitario,Venezuela,1,purple
613,El Rey,2008,74.0,Venezuela,2.5,Criollo,Venezuela,1,purple
614,El Rey,2008,58.0,Venezuela,2.5,Criollo,Venezuela,1,purple
615,El Rey,2008,61.0,Venezuela,3.0,Criollo,Venezuela,1,purple
616,El Rey,2006,70.0,Venezuela,2.75,Criollo,Venezuela,1,purple
617,Emerald Estate,2013,60.0,St. Lucia,2.75,Unknown,St. Lucia,1,purple
618,Emerald Estate,2013,70.0,St. Lucia,3.25,Unknown,St. Lucia,0,pink
619,Emily's,2015,79.0,Japan,3.0,Unknown,Venezuela,2,dark purple
620,Emily's,2015,78.0,Japan,3.5,Criollo,Peru,0,pink
621,ENNA,2016,75.0,U.S.A.,3.25,Unknown,Honduras,0,pink
622,Enric Rovira (Claudio Corallo),2010,80.0,Spain,3.25,Forastero,Sao Tome & Principe,2,dark purple
623,Erithaj (A. Morin),2014,70.0,France,3.25,Trinitario,Vietnam,0,pink
624,Erithaj (A. Morin),2014,80.0,France,3.0,Trinitario,Vietnam,2,dark purple
625,Erithaj (A. Morin),2014,74.0,France,3.25,Trinitario,Vietnam,0,pink
626,Escazu,2012,70.0,U.S.A.,2.75,Trinitario,Venezuela,1,purple
627,Escazu,2009,65.0,U.S.A.,2.0,Unknown,Costa Rica,1,purple
628,Escazu,2009,81.0,U.S.A.,3.5,Criollo,Venezuela,2,dark purple
629,Escazu,2009,74.0,U.S.A.,2.75,Unknown,"Cost Rica, Ven",1,purple
630,Escazu,2008,72.0,U.S.A.,3.0,Criollo,Venezuela,1,purple
631,Ethel's Artisan (Mars),2011,55.0,U.S.A.,2.5,Unknown,"Peru, Madagascar",1,purple
632,Ethel's Artisan (Mars),2011,55.0,U.S.A.,2.5,Trinitario,Trinidad,1,purple
633,Ethel's Artisan (Mars),2011,70.0,U.S.A.,2.5,Criollo (Porcelana),Venezuela,1,purple
634,Ethel's Artisan (Mars),2011,62.0,U.S.A.,2.75,Unknown,Unknown,1,purple
635,Ethel's Artisan (Mars),2011,62.0,U.S.A.,2.5,Unknown,"Venezuela, Trinidad",1,purple
636,Ethereal,2014,80.0,U.S.A.,3.0,Trinitario,Belize,2,dark purple
637,Ethereal,2014,80.0,U.S.A.,3.5,Unknown,Ecuador,0,pink
638,Ethereal,2014,80.0,U.S.A.,3.75,Unknown,Dominican Republic,0,pink
639,Fearless (AMMA),2010,75.0,U.S.A.,2.75,Unknown,Brazil,1,purple
640,Feitoria Cacao,2016,76.0,Portugal,3.0,Unknown,Jamaica,1,purple
641,Feitoria Cacao,2016,76.0,Portugal,2.5,Unknown,Venezuela,1,purple
642,Feitoria Cacao,2016,76.0,Portugal,2.75,Trinitario,Belize,1,purple
643,Felchlin,2010,58.0,Switzerland,3.5,Trinitario,Grenada,0,pink
644,Felchlin,2006,62.0,Switzerland,2.0,Unknown,Unknown,1,purple
645,Felchlin,2006,74.0,Switzerland,3.0,"Trinitario, Criollo",Dominican Republic,1,purple
646,Felchlin,2006,64.0,Switzerland,3.0,Criollo,Madagascar,1,purple
